setname,name,region,version,alternative,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
pmada,Pac-Man After Dark (Alternate) [hb],,Alternate,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmad,Pac-Man After Dark [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmad00,Pac-Man After Dark 2000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmba2000,Pac-Man Babies 2000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmba3000,Pac-Man Babies 3000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmba4000,Pac-Man Babies 4000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmba6000,Pac-Man Babies 6000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmba8000,Pac-Man Babies 8000 [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmbamaz,Pac-Man Babies Maze [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmbaplus,Pac-Man Babies Plus [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmbluep,Pac-Man Blue Plus [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
clubpacm,Pac-Man Club- Club Lambada (AR),Argentina,,,,Pac-Man,no,no,1989,Miky SRL,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmdeluxe,Pac-Man Deluxe [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmextra,Pac-Man Extra [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmextrap,Pac-Man Extra Plus [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmfever,Pac-Man Fever [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pmgrenp,Pac-Man Green Plus [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Blue Justice,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacjr1,Pac-Man Jr. (Maze 1) [hb],,Maze 1,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacjr2,Pac-Man Jr. (Maze 2) [hb],,Maze 2,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacjr3,Pac-Man Jr. (Maze 3) [hb],,Maze 3,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacjr4,Pac-Man Jr. (Maze 4) [hb],,Maze 4,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacplus,Pac-Man Plus,,,,,Pac-Man,yes,no,1982,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pacipede,Pacipede [hb],,,Centipede,,,yes,no,1980,Namco / Midway,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
packetman,Packetman [hb],,,Pac-Man,,,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pplusad,Pacman Plus After Dark [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Bally / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
,Pacmanic Miner,,,,,Pac-Man,no,no,1980,Jim Bagley,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pajaroes,"Pajaro del Espacio (UniWar S, Spanish) [bl]",,"UniWar S, Spanish",UniWar S,,,no,yes,1980,PSV S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
pengo,"Pengo (Set 1, Rev C)",,"Set 1, Rev C",,,,no,no,1982,Sega,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
pengo2,Pengo (Set 2),,Set 2,Pengo,,,no,no,1982,Sega,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
pengo4,Pengo (Set 4),,Set 4,Pengo,,,no,no,1982,Sega,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
pengo5,Pengo (Set 5),,Set 5,Pengo,,,no,no,1982,Sega,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
vecpengo,Pengo (Vector) [hb],,Vector,Pengo,,,yes,no,1982,T-Bone,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
pengman,Pengo Man [hb],,,Pac-Man,,,yes,no,1980,Scott Lawrence,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
pkunwarj,Penguin-Kun Wars (JP),Japan,,,,,no,no,1985,UPL,Sports,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
pkunwar,Penguin-Kun Wars (US),USA,,,,,no,no,1985,UPL,Sports,,horizontal,n/a,15kHz,,2 (alternating),2-way horizontal,,1,
pestplce,Pest Place,,,,,,no,no,1983,,Puzzle - Platform,,horizontal,,15kHz,,2 (simultaneous),4-way,,1,
phoenixt,Phoenix,,,Phoenix,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenix,"Phoenix (Amstar, Set 1)",,"Amstar, Set 1",,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,2,
phoenix2,"Phoenix (Amstar, Set 2)",,"Amstar, Set 2",Phoenix,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixass,"Phoenix (Assa, Spanish) [bl]",,"Assa, Spanish",Phoenix,,,no,yes,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixa,"Phoenix (Centuri, Set 1)",,"Centuri, Set 1",Phoenix,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixb,"Phoenix (Centuri, Set 2)",,"Centuri, Set 2",Phoenix,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixdal,Phoenix (D and L) [bl],,D and L,Phoenix,,,no,yes,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixgu,Phoenix (G. Universal Video) [bl],,G. Universal Video,Phoenix,,,no,yes,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixg,Phoenix (Greek) [hb],,Greek,Phoenix,,,yes,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixha,Phoenix (Hellomat Automaten) [bl],,Hellomat Automaten,Phoenix,,,no,yes,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixc,"Phoenix (Irecsa - G.G.I Corp, Set 1)",,"Irecsa - G.G.I Corp, Set 1",Phoenix,,,no,no,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixc2,"Phoenix (Irecsa - G.G.I Corp, Set 2)",,"Irecsa - G.G.I Corp, Set 2",Phoenix,,,no,no,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixc3,"Phoenix (Irecsa - G.G.I Corp, Set 3)",,"Irecsa - G.G.I Corp, Set 3",Phoenix,,,no,no,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixc4,"Phoenix (Irecsa - G.G.I Corp, Set 4)",,"Irecsa - G.G.I Corp, Set 4",Phoenix,,,no,no,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixj,"Phoenix (JP, Taito)",Japan,Taito,Phoenix,,,no,no,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixs,"Phoenix (Sonic, Spanish) [bl]",,"Sonic, Spanish",Phoenix,,,no,yes,1981,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenix3,Phoenix (T.P.N.) [bl],,T.P.N.,Phoenix,,,no,yes,1980,Amstar,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
phoenixr,PhoenixR (GDR) [hb],,GDR,Phoenix,,,yes,no,1980,CYBERYOGI =CO= Windler,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
pickin,Pickin',,,,,,no,no,1983,Valadon Automation,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
pickinpi,Pickin' (Color Hack) [hb],,Color Hack,Pickin',,,yes,no,1983,Pi,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
pisces,Pisces,,,,,,no,no,1982,Subelectro,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
piscesb,Pisces [bl],,,Pisces,,,no,yes,1982,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
pitfall2,Pitfall II,,,,Sega System 1,Pitfall,no,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
pitfall2,Pitfall II - The Lost Canvas (Japan) [315-5093],Japan,315-5093,Pitfall II,Sega System 1,Pitfall,no,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
pitfall2u,"Pitfall II (Unencrypted, Cheat) [hb]",,"Unencrypted, Cheat",Pitfall II,Sega System 1,Pitfall,yes,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
playball,Playball (Prototype),,Prototype,,,,no,no,1983,Williams,Ball and Paddle,,vertical (ccw),no,15kHz,,1,2-way horizontal,,0,
pleiadce,Pleiades (Centuri),,,Pleiades,,,no,no,1981,Centuri,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way (horizontal,,1,
pleiadsi,Pleiades (Irecsa),,Irecsa,Pleiades,,,no,no,1981,Tehkan / Irecsa,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
pleiadsn,Pleiades (Niemer S.A.),,Niemer S.A.,Pleiades,,,no,no,1981,Tehkan / Niemer SA,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
pleiadbl,Pleiades (Set 1) [bl],,Set 1,Pleiades,,,no,yes,1981,Tehkan,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
pleiadsb2,Pleiades (Set 2) [bl],,Set 2,Pleiades,,,no,yes,1981,Tehkan,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
pleiadss,Pleiades (Spanish) [bl],,Spanish,Pleiades,,,no,yes,1981,Tehkan,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
pleiads,Pleiades (Tehkan),,,,,,no,no,1981,Tehkan,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way (horizontal,,1,
polyplay,Poly Play,,,,,,no,no,1985,VEB Polytechnik,Mixed,,horizontal,,15kHz,,1,8-way,,1,
polyplay2,Poly Play 2,,,,,,no,no,1985,VEB Polytechnik,Mixed,,horizontal,,15kHz,,1,8-way,,1,
polyplay2,Poly Play 2c,,,,,,no,no,1985,VEB Polytechnik,Mixed,,horizontal,,15kHz,,1,8-way,,1,
pong,Pong (Rev E),,Rev E,,,,no,no,1972,Atari,Ball and Paddle,,horizontal,,15kHz,,2 (simultaneous),,positional,0,
ponpoko,Ponpoko,,,,,,no,no,1982,Sigma,Platform - Climb,,horizontal,,15kHz,,2 (alternating),4-way,,1,
ponpokov,Ponpoko (Venture Line),,Venture Line,Ponpoko,,,no,no,1982,Sigma / Venture Line,Platform - Climb,,horizontal,,15kHz,,2 (alternating),4-way,,1,
pootan,Pootan [bl],,,Pooyan,,,no,yes,1982,Konami,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way vertical,,1,
pooyan,Pooyan,,,,,,no,no,1982,Konami,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way vertical,,1,
pooyans,Pooyan (Stern),,Stern,Pooyan,,,no,no,1982,Konami,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way vertical,,1,
pooyandiag,Pooyan (Tester) [hb],,Tester,Pooyan,,,yes,no,1982,Konami,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way vertical,,1,
popeye,Popeye (Rev D),,Rev D,,,,no,no,1982,Nintendo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),4-way,,1,
powerdrv,Power Drive,,,,Midway MCR3,,no,no,1986,Bally / Midway,Racing,,horizontal,,15kHz,,3,4-way,,1,
puck255,Puck Man (255 Maze Fix) [hb],,255 Maze Fix,Pac-Man,,Pac-Man,yes,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
puckman,"Puck Man (JP, Set 1)",Japan,Set 1,,,Pac-Man,no,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
puckmod,"Puck Man (JP, Set 2)",Japan,Set 2,Pac-Man,,Pac-Man,no,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
puckmano,Puck Man Opposite [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
puckmot1,Puckmotik (Alt.) [hb],,Alt.,Pac-Man,,Pac-Man,yes,no,1980,Hebus,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
puckmoti,Puckmotik [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Hebus,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
uopoko,Puzzle Uo Poko,Japan,,Puzzle Uo Poko,CAVE 68000,,no,no,1998,CAVE,Puzzle,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,,0,
uopoko,Puzzle Uo Poko,World,,,CAVE 68000,,no,no,1998,CAVE,Puzzle,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,,0,
qbert,"Q'bert (US, Set 1)",USA,Set 1,,,Q'bert,no,no,1982,Gottlieb,Platform - Climb,,vertical (ccw),yes,15kHz,,2 (alternating),4-way diagonal,,0,
qbertqub,Q'bert Qubes,,,,,Q'bert,no,no,1982,Gottlieb,Platform - Climb,,,,15kHz,,2 (alternating),4-way diagonal,,0,
radarscp,Radar Scope,,,,,,no,no,1980,Nintendo,Shooter - Gallery,,vertical (cw),broken,15kHz,,2 (alternating),2-way horizontal,,1,
raflesia,Rafflesia (315-5162),,315-5162,,Sega System 1,,no,no,1986,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
raflesia,Rafflesia (Japan) (315-5162),Japan,315-5162,Rafflesia,Sega System 1,,no,no,1986,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
dkrainbow,Rainbow Donkey Kong [hb],,,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
rallyx,Rally-X (32k Ver),,32k Ver,,,Rally-X,no,no,1980,Namco,Maze,,horizontal,,15kHz,,2 (alternating),4-way,,1,
rallyxm,Rally-X (Midway),,Midway,Rally-X,,,no,no,1980,Namco / Midway,Maze,,horizontal,,15kHz,,2 (alternating),4-way,,1,
rampage2,"Rampage (Rev 2, 860804)",,"Rev 2, 860804",Rampage,Midway MCR3,,no,no,1986,Bally / Midway,Platform - Climb,,horizontal,,15kHz,,3,8-way,,2,
rampage,"Rampage (Rev 3, 860827)",,"Rev 3, 860827",,Midway MCR3,,no,no,1986,Bally / Midway,Platform - Climb,,horizontal,,15kHz,,3,8-way,,2,
regulus,"Regulus (315-5033, Rev A)",,"315-5033, Rev A",,Sega System 1,,no,no,1983,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
regulus,"Regulus (Rev A., Japan) [315-5033]",Japan,"315-5033, Rev A",Regulus,Sega System 1,,no,no,1983,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
rescue,Rescue,,,,,,no,no,1982,Stern,Shooter - Horizontal,,vertical (cw),yes,15kHz,,1,8-way,twin stick,4,
ridleofp,Riddle of Pythagoras (Japan),Japan,,,Sega System E,,no,no,1986,Sega,Ball and Paddle,,vertical (cw),,15kHz,,1,,spinner,2,
rpatroln,"River Patrol (JP, Unprotected)",Japan,Unprotected,,,,no,no,1981,Orca,Sports,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
roboman,Robo Man [hb],,,Pac-Man,,,yes,no,1980,Runge Editing,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
robotron,Robotron 2084,,,,,,no,no,1982,Williams / Vid Kidz,Shooter - Multidirectional,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotron201,"Robotron 2084 (Patched, Blue-201) [hb]",,"Patched, Blue-201",Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotronp,Robotron 2084 (Patched) [hb],,Patched,Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotron87,"Robotron 2084 (Shot in the Corner, 1987) [hb]",,"Shot in the Corner, 1987",Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotrontd,"Robotron 2084 (Tie-Die v2, 2015) [hb]",,"Tie-Die v2, 2015",Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotrontie,Robotron 2084 (Tie-Die) [hb],,Tie-Die,Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotron12,"Robotron 2084 (Wave 201 Start, 2012) [hb]",,"Wave 201 Start, 2012",Robotron 2084,,,yes,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
robotronyo,Robotron 2084 (Yellow-Orange Label),,Yellow-Orange Label,Robotron 2084,,,no,no,1982,Williams / Vid Kidz,Arena,,horizontal,,15kHz,,1,8-way,twin stick,4,
rushatck,Rush'n Attack (US),USA,,Green Beret,,,no,no,1985,Konami,Run 'n' Gun - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
rygar,Rygar,,,,Tecmo,,no,no,1986,Tecmo,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
sosterm,S.O.S.,,,,TIAMC1,,no,no,1988,Terminal,Platform,,horizontal,,15kHz,,1,4-way,,1,
sarge,Sarge,,,,Midway MCR3,,no,no,1985,Bally / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,2,
sargex,Sarge Exposed [hb],,,Sarge,Midway MCR3,,yes,no,1985,Gatinho,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,2,
shollow,Satan's Hollow (Set 1),,Set 1,,Midway MCR2,,no,no,1983,Bally / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
shollow2,Satan's Hollow (Set 2),,Set 2,Satan's Hollow,Midway MCR2,,no,no,1981,Bally / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
shtron,Satan's Hollow (Tron Hardware) [bl],,Tron Hardware,Tron,Midway MCR3,,no,yes,1983,Bally / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
scramblebf,"Scramble (FR, Karateco) [bl]",France,Karateco,Scramble,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scramce,"Scramble (Spanish, Centromatic S.A.) [bl]",,"Spanish, Centromatic S.A.",Scramble,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scrampt,"Scramble (Spanish, Petaco, S.A.) [bl]",,"Spanish, Petaco, S.A.",Scramble,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scramble,"Scramble (Stern, Set 1)",,"Stern, Set 1",,,Scramble,no,no,1981,Konami,Shooter - Horizontal,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
scramblebb,Scramble [bl],,,Scramble,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
seawolf,Sea Wolf (Set 1),,Set 1,,,Sea Wolf,no,no,1976,Dave Nutting Associates / Midway,Shooter - Gallery,,horizontal,,15kHz,,1,,positional,1,
seawolf2,Sea Wolf II,,,,,Sea Wolf,no,no,1978,Dave Nutting Associates / Midway,Shooter - Gallery,,horizontal,,15kHz,,2 (simultaneous),,positional,1,
seganinj,Sega Ninja (315-5102),,315-5102,,Sega System 1,,no,no,1985,Sega,Shooter - Gallery,,horizontal,,15kHz,,2 (alternating),8-way,,3,
seganinj,Sega Ninja (US) (315-5102),US,315-5102,Sega Ninja,Sega System 1,,no,no,1985,Sega,Shooter - Gallery,,horizontal,,15kHz,,2 (alternating),8-way,,3,
shtrider,Shot Rider (B-Board 89624B-1),,B-Board 89624B-1,,,,no,no,1983,Capcom,Racing,,vertical (ccw),yes,15kHz,,2 (alternating),8-way,,,
shuffle,Shuffleboard,,,,,,no,no,1978,Midway,Sports,,vertical (cw),yes,15kHz,,1,,trackball,1,
shuttlei,Shuttle Invader,,,,,,no,no,1979,"Omori Electric Co., Ltd.",Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
silkworm,Silkworm,,,,Tecmo,,no,no,1988,Tecmo,Shooter - Horizontal,,horizontal,,15kHz,,2 (simultaneous),8-way,,3,
silvland,Silver Land,,,,,,no,no,1981,Falcon,Sports,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
sinistar,Sinistar,,,,,,no,no,1982,Williams,Shooter - Multidirectional,,vertical (ccw),no,15kHz,,1,,optical stick,1,
sinistar1,Sinistar (Prototype),,Prototype,Sinistar,,,no,no,1982,Williams,Shooter - Multidirectional,,vertical (ccw),no,15kHz,,1,8-way,,1,
sinistar2,Sinistar (Rev 2),,Rev 2,Sinistar,,,no,no,1982,Williams,Shooter - Multidirectional,,vertical (ccw),no,15kHz,,1,8-way,,1,
skyraidr,Sky Raider (UniWar S) [bl],,UniWar S,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
skyskipr,Sky Skipper,,,,,,no,no,1981,Nintendo,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
slapshtr,Slap Shooter,,,,Sega System E,,no,no,1986,Sega,Sports,,horizontal,,15kHz,,1,8-way,,2,
snapjack,Snap Jack,,,,,,no,no,1982,Universal,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,0,
koroleva,Snezhnaja Koroleva,,,,TIAMC1,,no,no,1988,Terminal,Maze,,horizontal,,15kHz,,1,4-way,,1,
snowpac,Snowy Day Pac-Man [hb],,,Pac-Man,,Pac-Man,yes,no,1980,T-Bone,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
solarfox,Solar Fox,,,,Midway MCR1,,no,no,1980,Bally / Midway,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
solomonjs01,"Solomon no Kagi (CH, Chinese) [hb]",China,Chinese,Solomon's Key,,,yes,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomonj,Solomon no Kagi (JP),Japan,,Solomon's Key,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomonj,Solomon no Kagi (JP),Japan,,Solomon's Key,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomon,Solomon's Key,,,,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spacbatt,Space Battle (Set 1) [bl],,Set 1,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spacbat2,Space Battle (Set 2) [bl],,Set 2,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
schaser,Space Chaser,,,,,,no,no,1979,Taito,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
spacempr,Space Empire [bl],,,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spcenctr,Space Encounters,,,,,,no,no,1980,Midway,Shooter - Vertical,,horizontal,,15kHz,,1,,positional,1,
invaders,Space Invaders,,,,,Space Invaders,no,no,1978,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
,Space Invaders - Space Invaders M,,,,,,,,,,,,,,,,,,,,
invad2ct,"Space Invaders Part II (Midway, Cocktail)",,"Midway, Cocktail",Space Invaders,,Space Invaders,no,no,1980,Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
invadpt2,"Space Invaders Part II (Taito, Bigger ROMs)",,"Taito, Bigger ROMs",Space Invaders,,Space Invaders,no,no,1979,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spaceplt,Space Pilot,,,Time Pilot,,,no,no,1982,,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
,Space Race,,,,,,no,no,1973,Atari,Racing,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,,0,
